,광역시도명,법정시군구명,발생건수
0,서울특별시,종로구,180
1,서울특별시,중구,2194
2,서울특별시,용산구,175
3,서울특별시,성동구,178
4,서울특별시,광진구,145
5,서울특별시,동대문구,187
6,서울특별시,중랑구,242
7,서울특별시,성북구,236
8,서울특별시,강북구,214
9,서울특별시,도봉구,126
10,서울특별시,노원구,276
11,서울특별시,은평구,197
12,서울특별시,서대문구,161
13,서울특별시,마포구,466
14,서울특별시,양천구,149
15,서울특별시,강서구,319
16,서울특별시,구로구,776
17,서울특별시,금천구,492
18,서울특별시,영등포구,317
19,서울특별시,동작구,206
20,서울특별시,관악구,278
21,서울특별시,서초구,548
22,서울특별시,강남구,1795
23,서울특별시,송파구,1873
24,서울특별시,강동구,182
25,부산광역시,중구,62
26,부산광역시,서구,42
27,부산광역시,동구,25
28,부산광역시,영도구,40
29,부산광역시,부산진구,454
30,부산광역시,동래구,89
31,부산광역시,남구,169
32,부산광역시,북구,125
33,부산광역시,강서구,162
34,부산광역시,해운대구,207
35,부산광역시,사하구,101
36,부산광역시,금정구,125
37,부산광역시,연제구,109
38,부산광역시,수영구,136
39,부산광역시,사상구,91
40,부산광역시,기장군,142
41,대구광역시,중구,67
42,대구광역시,동구,183
43,대구광역시,서구,126
44,대구광역시,남구,98
45,대구광역시,북구,232
46,대구광역시,수성구,296
47,대구광역시,달서구,374
48,대구광역시,달성군,65
49,인천광역시,중구,95
50,인천광역시,동구,47
51,인천광역시,미추홀구,300
52,인천광역시,연수구,223
53,인천광역시,남동구,390
54,인천광역시,부평구,239
55,인천광역시,계양구,202
56,인천광역시,서구,259
57,인천광역시,강화군,70
58,인천광역시,옹진군,10
59,광주광역시,동구,53
60,광주광역시,서구,143
61,광주광역시,남구,21
62,광주광역시,북구,344
63,광주광역시,광산구,215
64,대전광역시,동구,134
65,대전광역시,중구,127
66,대전광역시,서구,266
67,대전광역시,유성구,330
68,대전광역시,대덕구,79
69,울산광역시,중구,78
70,울산광역시,남구,195
71,울산광역시,동구,62
72,울산광역시,북구,154
73,울산광역시,울주군,89
74,경기도,남양주시,235
75,경기도,수원시,576
76,경기도,성남시,780
77,경기도,의정부시,253
78,경기도,안양시,197
79,경기도,부천시,540
80,경기도,광명시,127
81,경기도,동두천시,22
82,경기도,평택시,316
83,경기도,안산시,400
84,경기도,고양시,592
85,경기도,과천시,30
86,경기도,구리시,81
87,경기도,오산시,117
88,경기도,시흥시,354
89,경기도,군포시,69
90,경기도,의왕시,70
91,경기도,하남시,125
92,경기도,용인시,632
93,경기도,파주시,252
94,경기도,이천시,164
95,경기도,안성시,88
96,경기도,김포시,299
97,경기도,화성시,449
98,경기도,광주시,194
99,경기도,양주시,69
100,경기도,포천시,66
101,경기도,여주시,17
102,경기도,연천군,3
103,경기도,가평군,21
104,경기도,양평군,52
105,강원도,춘천시,190
106,강원도,원주시,168
107,강원도,강릉시,124
108,강원도,동해시,50
109,강원도,태백시,12
110,강원도,속초시,60
111,강원도,삼척시,32
112,강원도,홍천군,40
113,강원도,횡성군,11
114,강원도,영월군,11
115,강원도,평창군,10
116,강원도,정선군,16
117,강원도,철원군,12
118,강원도,화천군,51
119,강원도,양구군,15
120,강원도,인제군,18
121,강원도,고성군,5
122,강원도,양양군,10
123,충청북도,청주시,523
124,충청북도,충주시,152
125,충청북도,제천시,34
126,충청북도,보은군,6
127,충청북도,옥천군,16
128,충청북도,영동군,10
129,충청북도,증평군,7
130,충청북도,진천군,18
131,충청북도,괴산군,44
132,충청북도,음성군,27
133,충청북도,단양군,13
134,충청남도,천안시,515
135,충청남도,공주시,115
136,충청남도,보령시,49
137,충청남도,아산시,267
138,충청남도,서산시,115
139,충청남도,논산시,44
140,충청남도,계룡시,10
141,충청남도,당진시,55
142,충청남도,금산군,49
143,충청남도,부여군,9
144,충청남도,서천군,7
145,충청남도,청양군,6
146,충청남도,홍성군,38
147,충청남도,예산군,46
148,충청남도,태안군,22
149,전라북도,전주시,424
150,전라북도,군산시,86
151,전라북도,익산시,147
152,전라북도,정읍시,29
153,전라북도,남원시,12
154,전라북도,김제시,10
155,전라북도,완주군,12
156,전라북도,진안군,44
157,전라북도,무주군,17
158,전라북도,장수군,5
159,전라북도,임실군,1
160,전라북도,순창군,10
161,전라북도,고창군,15
162,전라북도,부안군,6
163,전라남도,목포시,85
164,전라남도,여수시,162
165,전라남도,순천시,143
166,전라남도,나주시,45
167,전라남도,광양시,43
168,전라남도,담양군,7
169,전라남도,곡성군,3
170,전라남도,구례군,1
171,전라남도,고흥군,10
172,전라남도,보성군,6
173,전라남도,화순군,45
174,전라남도,장흥군,3
175,전라남도,강진군,2
176,전라남도,해남군,5
177,전라남도,영암군,16
178,전라남도,무안군,49
179,전라남도,함평군,2
180,전라남도,영광군,4
181,전라남도,장성군,8
182,전라남도,완도군,1
183,전라남도,진도군,4
184,전라남도,신안군,12
185,경상북도,포항시,237
186,경상북도,경주시,137
187,경상북도,김천시,24
188,경상북도,안동시,56
189,경상북도,구미시,272
190,경상북도,영주시,33
191,경상북도,영천시,44
192,경상북도,상주시,30
193,경상북도,문경시,31
194,경상북도,경산시,237
195,경상북도,군위군,2
196,경상북도,의성군,16
197,경상북도,청송군,2
198,경상북도,영양군,3
199,경상북도,영덕군,8
200,경상북도,청도군,3
201,경상북도,고령군,0
202,경상북도,성주군,30
203,경상북도,칠곡군,85
204,경상북도,예천군,14
205,경상북도,봉화군,23
206,경상북도,울진군,2
207,경상북도,울릉군,2
208,경상남도,창원시,588
209,경상남도,진주시,234
210,경상남도,통영시,32
211,경상남도,사천시,37
212,경상남도,김해시,177
213,경상남도,밀양시,11
214,경상남도,거제시,105
215,경상남도,양산시,142
216,경상남도,의령군,2
217,경상남도,함안군,24
218,경상남도,창녕군,18
219,경상남도,고성군,12
220,경상남도,남해군,3
221,경상남도,하동군,1
222,경상남도,산청군,6
223,경상남도,함양군,4
224,경상남도,거창군,28
225,경상남도,합천군,2
226,제주특별자치도,제주시,294
227,제주특별자치도,서귀포시,81
228,세종특별자치시,세종시,0
