,광역시도명,법정시군구명,발생건수
0,서울특별시,종로구,1375
1,서울특별시,중구,18143
2,서울특별시,용산구,1198
3,서울특별시,성동구,1333
4,서울특별시,광진구,1296
5,서울특별시,동대문구,1587
6,서울특별시,중랑구,1901
7,서울특별시,성북구,1873
8,서울특별시,강북구,1054
9,서울특별시,도봉구,1082
10,서울특별시,노원구,2196
11,서울특별시,은평구,1320
12,서울특별시,서대문구,1589
13,서울특별시,마포구,2455
14,서울특별시,양천구,1585
15,서울특별시,강서구,3278
16,서울특별시,구로구,3473
17,서울특별시,금천구,2739
18,서울특별시,영등포구,2545
19,서울특별시,동작구,1761
20,서울특별시,관악구,2080
21,서울특별시,서초구,4341
22,서울특별시,강남구,13219
23,서울특별시,송파구,13334
24,서울특별시,강동구,1749
25,부산광역시,중구,342
26,부산광역시,서구,302
27,부산광역시,동구,231
28,부산광역시,영도구,288
29,부산광역시,부산진구,2206
30,부산광역시,동래구,841
31,부산광역시,남구,1116
32,부산광역시,북구,1126
33,부산광역시,강서구,966
34,부산광역시,해운대구,1531
35,부산광역시,사하구,993
36,부산광역시,금정구,815
37,부산광역시,연제구,710
38,부산광역시,수영구,914
39,부산광역시,사상구,745
40,부산광역시,기장군,717
41,대구광역시,중구,603
42,대구광역시,동구,1543
43,대구광역시,서구,663
44,대구광역시,남구,711
45,대구광역시,북구,1912
46,대구광역시,수성구,2030
47,대구광역시,달서구,2690
48,대구광역시,달성군,727
49,인천광역시,중구,660
50,인천광역시,동구,340
51,인천광역시,미추홀구,2502
52,인천광역시,연수구,1692
53,인천광역시,남동구,2286
54,인천광역시,부평구,1756
55,인천광역시,계양구,1255
56,인천광역시,서구,1956
57,인천광역시,강화군,305
58,인천광역시,옹진군,85
59,광주광역시,동구,485
60,광주광역시,서구,1235
61,광주광역시,남구,630
62,광주광역시,북구,2365
63,광주광역시,광산구,1825
64,대전광역시,동구,811
65,대전광역시,중구,823
66,대전광역시,서구,2321
67,대전광역시,유성구,2177
68,대전광역시,대덕구,629
69,울산광역시,중구,771
70,울산광역시,남구,1330
71,울산광역시,동구,500
72,울산광역시,북구,903
73,울산광역시,울주군,735
74,경기도,남양주시,2377
75,경기도,수원시,4970
76,경기도,성남시,5917
77,경기도,의정부시,1709
78,경기도,안양시,2186
79,경기도,부천시,3749
80,경기도,광명시,1070
81,경기도,동두천시,252
82,경기도,평택시,2440
83,경기도,안산시,2580
84,경기도,고양시,4641
85,경기도,과천시,237
86,경기도,구리시,730
87,경기도,오산시,823
88,경기도,시흥시,2810
89,경기도,군포시,821
90,경기도,의왕시,733
91,경기도,하남시,1144
92,경기도,용인시,5095
93,경기도,파주시,2017
94,경기도,이천시,900
95,경기도,안성시,764
96,경기도,김포시,1826
97,경기도,화성시,3804
98,경기도,광주시,1292
99,경기도,양주시,644
100,경기도,포천시,646
101,경기도,여주시,234
102,경기도,연천군,126
103,경기도,가평군,157
104,경기도,양평군,392
105,강원도,춘천시,1083
106,강원도,원주시,1282
107,강원도,강릉시,612
108,강원도,동해시,270
109,강원도,태백시,123
110,강원도,속초시,339
111,강원도,삼척시,253
112,강원도,홍천군,271
113,강원도,횡성군,108
114,강원도,영월군,123
115,강원도,평창군,119
116,강원도,정선군,86
117,강원도,철원군,109
118,강원도,화천군,172
119,강원도,양구군,82
120,강원도,인제군,107
121,강원도,고성군,80
122,강원도,양양군,71
123,충청북도,청주시,4269
124,충청북도,충주시,913
125,충청북도,제천시,431
126,충청북도,보은군,48
127,충청북도,옥천군,110
128,충청북도,영동군,93
129,충청북도,증평군,116
130,충청북도,진천군,233
131,충청북도,괴산군,182
132,충청북도,음성군,368
133,충청북도,단양군,130
134,충청남도,천안시,3438
135,충청남도,공주시,819
136,충청남도,보령시,383
137,충청남도,아산시,1887
138,충청남도,서산시,781
139,충청남도,논산시,349
140,충청남도,계룡시,173
141,충청남도,당진시,563
142,충청남도,금산군,296
143,충청남도,부여군,137
144,충청남도,서천군,134
145,충청남도,청양군,72
146,충청남도,홍성군,332
147,충청남도,예산군,228
148,충청남도,태안군,169
149,전라북도,전주시,2514
150,전라북도,군산시,775
151,전라북도,익산시,870
152,전라북도,정읍시,219
153,전라북도,남원시,193
154,전라북도,김제시,143
155,전라북도,완주군,234
156,전라북도,진안군,167
157,전라북도,무주군,120
158,전라북도,장수군,76
159,전라북도,임실군,30
160,전라북도,순창군,97
161,전라북도,고창군,94
162,전라북도,부안군,101
163,전라남도,목포시,614
164,전라남도,여수시,865
165,전라남도,순천시,1160
166,전라남도,나주시,328
167,전라남도,광양시,403
168,전라남도,담양군,71
169,전라남도,곡성군,52
170,전라남도,구례군,52
171,전라남도,고흥군,98
172,전라남도,보성군,80
173,전라남도,화순군,355
174,전라남도,장흥군,85
175,전라남도,강진군,46
176,전라남도,해남군,105
177,전라남도,영암군,152
178,전라남도,무안군,272
179,전라남도,함평군,33
180,전라남도,영광군,83
181,전라남도,장성군,88
182,전라남도,완도군,46
183,전라남도,진도군,70
184,전라남도,신안군,125
185,경상북도,포항시,1520
186,경상북도,경주시,885
187,경상북도,김천시,383
188,경상북도,안동시,450
189,경상북도,구미시,2163
190,경상북도,영주시,246
191,경상북도,영천시,216
192,경상북도,상주시,233
193,경상북도,문경시,302
194,경상북도,경산시,1334
195,경상북도,군위군,68
196,경상북도,의성군,81
197,경상북도,청송군,42
198,경상북도,영양군,18
199,경상북도,영덕군,47
200,경상북도,청도군,71
201,경상북도,고령군,63
202,경상북도,성주군,119
203,경상북도,칠곡군,482
204,경상북도,예천군,163
205,경상북도,봉화군,138
206,경상북도,울진군,120
207,경상북도,울릉군,9
208,경상남도,창원시,4382
209,경상남도,진주시,1192
210,경상남도,통영시,334
211,경상남도,사천시,416
212,경상남도,김해시,1680
213,경상남도,밀양시,171
214,경상남도,거제시,1013
215,경상남도,양산시,1065
216,경상남도,의령군,42
217,경상남도,함안군,136
218,경상남도,창녕군,151
219,경상남도,고성군,110
220,경상남도,남해군,54
221,경상남도,하동군,96
222,경상남도,산청군,58
223,경상남도,함양군,56
224,경상남도,거창군,156
225,경상남도,합천군,60
226,제주특별자치도,제주시,1601
227,제주특별자치도,서귀포시,620
228,세종특별자치시,세종시,0
