내외국인별,성별,연령별,총이동,입국자,출국자,국제순이동
내국인,계,0세,3508,1307,2201,-894
내국인,계,1세,4218,1664,2554,-890
내국인,계,2세,3657,1632,2025,-393
내국인,계,3세,3648,1556,2092,-536
내국인,계,4세,3604,1489,2115,-626
내국인,계,5세,3818,1520,2298,-778
내국인,계,6세,3838,1536,2302,-766
내국인,계,7세,3596,1517,2079,-562
내국인,계,8세,3827,1717,2110,-393
내국인,계,9세,3781,1727,2054,-327
내국인,계,10세,3845,1812,2033,-221
내국인,계,11세,3431,1663,1768,-105
내국인,계,12세,3223,1607,1616,-9
내국인,계,13세,2991,1384,1607,-223
내국인,계,14세,3003,1374,1629,-255
내국인,계,15세,2816,1055,1761,-706
내국인,계,16세,2825,1140,1685,-545
내국인,계,17세,3305,1603,1702,-99
내국인,계,18세,6636,3679,2957,722
내국인,계,19세,7862,2915,4947,-2032
내국인,계,20세,9146,3239,5907,-2668
내국인,계,21세,9924,3251,6673,-3422
내국인,계,22세,10282,3294,6988,-3694
내국인,계,23세,9938,3309,6629,-3320
내국인,계,24세,9828,3556,6272,-2716
내국인,계,25세,9257,3697,5560,-1863
내국인,계,26세,9439,4009,5430,-1421
내국인,계,27세,9423,4255,5168,-913
내국인,계,28세,9457,4435,5022,-587
내국인,계,29세,9509,4512,4997,-485
내국인,계,30세,8767,4203,4564,-361
내국인,계,31세,8146,4044,4102,-58
내국인,계,32세,7771,3857,3914,-57
내국인,계,33세,7456,3726,3730,-4
내국인,계,34세,7197,3512,3685,-173
내국인,계,35세,7559,3695,3864,-169
내국인,계,36세,7427,3612,3815,-203
내국인,계,37세,7879,3863,4016,-153
내국인,계,38세,8517,4287,4230,57
내국인,계,39세,9343,4506,4837,-331
내국인,계,40세,9156,4554,4602,-48
내국인,계,41세,8837,4489,4348,141
내국인,계,42세,7975,3953,4022,-69
내국인,계,43세,7126,3696,3430,266
내국인,계,44세,6923,3564,3359,205
내국인,계,45세,6396,3444,2952,492
내국인,계,46세,6234,3421,2813,608
내국인,계,47세,6089,3298,2791,507
내국인,계,48세,6134,3320,2814,506
내국인,계,49세,6063,3379,2684,695
내국인,계,50세,6273,3434,2839,595
내국인,계,51세,5694,3174,2520,654
내국인,계,52세,5249,2913,2336,577
내국인,계,53세,4848,2637,2211,426
내국인,계,54세,4276,2337,1939,398
내국인,계,55세,3852,2156,1696,460
내국인,계,56세,3751,2118,1633,485
내국인,계,57세,3491,1926,1565,361
내국인,계,58세,3571,1989,1582,407
내국인,계,59세,3288,1780,1508,272
내국인,계,60세,3526,1902,1624,278
내국인,계,61세,3150,1683,1467,216
내국인,계,62세,2870,1500,1370,130
내국인,계,63세,2819,1523,1296,227
내국인,계,64세,2416,1258,1158,100
내국인,계,65세,2215,1169,1046,123
내국인,계,66세,2230,1153,1077,76
내국인,계,67세,1783,865,918,-53
내국인,계,68세,1658,836,822,14
내국인,계,69세,1452,742,710,32
내국인,계,70세,1070,524,546,-22
내국인,계,71세,1138,562,576,-14
내국인,계,72세,1007,483,524,-41
내국인,계,73세,1003,478,525,-47
내국인,계,74세,988,484,504,-20
내국인,계,75세,690,330,360,-30
내국인,계,76세,632,324,308,16
내국인,계,77세,515,255,260,-5
내국인,계,78세,500,248,252,-4
내국인,계,79세,458,217,241,-24
내국인,계,80세,391,208,183,25
내국인,계,81세,319,140,179,-39
내국인,계,82세,238,122,116,6
내국인,계,83세,192,85,107,-22
내국인,계,84세,202,109,93,16
내국인,계,85세이상,562,285,277,8
외국인,계,0세,3961,1304,2657,-1353
외국인,계,1세,3198,1490,1708,-218
외국인,계,2세,2262,1197,1065,132
외국인,계,3세,2027,1071,956,115
외국인,계,4세,1913,960,953,7
외국인,계,5세,1831,879,952,-73
외국인,계,6세,1407,723,684,39
외국인,계,7세,1048,603,445,158
외국인,계,8세,972,619,353,266
외국인,계,9세,888,556,332,224
외국인,계,10세,831,542,289,253
외국인,계,11세,804,523,281,242
외국인,계,12세,807,545,262,283
