"시도별","연령계층별",2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4
"시도별","연령계층별",15세이상인구 (천명),경제활동인구 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%)
"계","계",45211,28360,16851,62.7,60.5,45242,29227,16015,64.6,62.7,45271,29143,16128,64.4,62.8,45317,28957,16360,63.9,62.3,45358,28685,16673,63.2,61.2
"계","15 - 19세",2259,211,2048,9.4,8.4,2243,198,2044,8.8,8.4,2238,193,2045,8.6,8.1,2240,161,2079,7.2,6.9,2260,189,2071,8.4,7.8
"계","20 - 29세",6398,4053,2346,63.3,59.2,6350,4178,2172,65.8,61.0,6294,4094,2200,65.0,61.1,6248,3987,2261,63.8,60.2,6211,3981,2230,64.1,59.8
"계","30 - 39세",6900,5416,1484,78.5,76.5,6866,5463,1403,79.6,77.1,6844,5465,1379,79.8,77.7,6830,5463,1367,80.0,78.0,6800,5446,1354,80.1,77.9
"계","40 - 49세",8116,6433,1683,79.3,77.5,8099,6483,1616,80.0,78.3,8074,6441,1634,79.8,78.3,8048,6413,1635,79.7,78.2,8012,6362,1650,79.4,77.7
"계","50 - 59세",8571,6638,1934,77.4,75.9,8584,6787,1797,79.1,77.6,8586,6750,1836,78.6,77.4,8585,6752,1832,78.7,77.5,8583,6712,1871,78.2,76.7
"계","60세이상",12967,5609,7358,43.3,41.0,13102,6119,6983,46.7,45.7,13234,6200,7034,46.8,46.2,13367,6181,7186,46.2,45.0,13493,5995,7498,44.4,42.8
"계","15 - 64세",36347,25288,11059,69.6,67.4,36268,25804,10464,71.1,68.9,36189,25639,10550,70.8,69.0,36130,25494,10635,70.6,68.8,36071,25346,10725,70.3,68.2
"계","15 - 24세",5048,1561,3487,30.9,28.2,4994,1608,3386,32.2,29.6,4947,1564,3383,31.6,29.7,4918,1440,3479,29.3,27.7,4943,1476,3467,29.9,27.7
"계","15 - 29세",8657,4264,4393,49.3,46.0,8592,4376,4216,50.9,47.3,8532,4287,4245,50.2,47.2,8489,4148,4340,48.9,46.2,8470,4170,4300,49.2,45.9
"서울특별시","계",8503,5292,3210,62.2,59.5,8464,5326,3138,62.9,60.7,8448,5282,3166,62.5,60.8,8447,5278,3169,62.5,60.7,8458,5256,3203,62.1,60.3
"서울특별시","15 - 19세",370,38,332,10.3,9.2,366,37,329,10.0,9.1,365,34,331,9.3,8.7,365,29,336,8.0,7.9,368,22,346,5.9,5.4
"서울특별시","20 - 29세",1390,946,444,68.0,63.1,1376,939,437,68.3,63.6,1365,923,442,67.6,63.5,1359,900,459,66.2,61.8,1359,907,452,66.8,63.1
"서울특별시","30 - 39세",1464,1195,270,81.6,79.0,1450,1194,256,82.4,79.8,1445,1190,255,82.3,80.0,1444,1200,244,83.1,81.1,1444,1205,240,83.4,81.1
"서울특별시","40 - 49세",1456,1147,309,78.8,76.4,1443,1147,296,79.5,77.4,1434,1136,299,79.2,77.5,1427,1136,291,79.6,78.1,1419,1124,295,79.2,77.4
"서울특별시","50 - 59세",1502,1125,378,74.9,72.7,1498,1145,353,76.4,74.8,1493,1127,366,75.5,74.7,1489,1129,360,75.8,74.3,1486,1113,373,74.9,73.1
"서울특별시","60세이상",2320,842,1478,36.3,33.9,2332,864,1467,37.1,35.7,2347,873,1474,37.2,36.3,2363,884,1479,37.4,36.7,2381,885,1497,37.2,36.3
"서울특별시","15 - 64세",6905,4854,2050,70.3,67.4,6851,4884,1968,71.3,68.7,6820,4827,1993,70.8,68.8,6802,4819,1984,70.8,68.7,6796,4802,1994,70.7,68.5
"서울특별시","15 - 24세",916,307,609,33.5,29.9,902,316,586,35.1,32.3,895,318,576,35.6,33.9,893,285,608,31.9,30.3,901,273,628,30.3,28.7
"서울특별시","15 - 29세",1760,984,777,55.9,51.7,1741,976,766,56.0,52.1,1730,957,773,55.3,51.9,1724,929,795,53.9,50.4,1727,929,798,53.8,50.8
"부산광역시","계",2947,1703,1244,57.8,55.8,2941,1731,1209,58.9,57.2,2936,1744,1192,59.4,57.8,2933,1741,1192,59.3,57.7,2934,1736,1198,59.2,57.2
"부산광역시","15 - 19세",127,8,119,6.6,5.5,126,9,117,7.0,6.7,125,10,115,7.9,7.4,125,9,117,6.8,6.8,126,8,119,5.9,5.1
"부산광역시","20 - 29세",408,223,185,54.8,50.6,403,229,174,56.9,52.8,398,233,164,58.7,55.1,394,228,166,57.9,54.2,392,229,164,58.3,54.9
"부산광역시","30 - 39세",402,306,97,75.9,74.4,400,304,96,76.0,74.0,398,305,93,76.6,74.1,397,313,84,78.8,76.4,395,315,80,79.6,77.3
