"시도별","연령계층별",2022.1/4,2022.2/4,2022.3/4,2022.4/4
"계","계",3.5,3.0,2.5,2.6
"계","15 - 29세",6.7,7.2,6.1,5.5
"계","30 - 59세",2.2,2.3,2.0,1.9
"계","60세이상",5.2,2.2,1.5,2.6
"서울특별시","계",4.4,3.6,2.8,2.9
"서울특별시","15 - 29세",7.4,7.0,6.2,6.5
"서울특별시","30 - 59세",3.0,2.6,2.0,2.1
"서울특별시","60세이상",6.5,3.7,2.3,2.0
"부산광역시","계",3.4,2.9,2.7,2.8
"부산광역시","15 - 29세",8.0,7.0,6.2,6.1
"부산광역시","30 - 59세",1.8,2.3,2.4,2.1
"부산광역시","60세이상",5.0,2.1,1.6,2.6
"대구광역시","계",3.3,3.1,2.5,2.8
"대구광역시","15 - 29세",6.6,8.1,5.5,7.4
"대구광역시","30 - 59세",2.2,2.3,2.1,1.8
"대구광역시","60세이상",4.5,2.6,1.6,3.1
"인천광역시","계",3.8,3.6,2.9,3.1
"인천광역시","15 - 29세",7.3,7.1,6.5,5.9
"인천광역시","30 - 59세",2.1,2.7,2.2,2.5
"인천광역시","60세이상",7.5,3.4,2.1,2.9
"광주광역시","계",3.8,2.8,2.4,2.5
"광주광역시","15 - 29세",7.6,6.7,6.3,5.7
"광주광역시","30 - 59세",2.6,2.1,2.0,1.6
"광주광역시","60세이상",5.8,2.2,0.5,3.6
"대전광역시","계",3.3,2.4,2.0,1.7
"대전광역시","15 - 29세",6.2,5.4,3.6,2.2
"대전광역시","30 - 59세",2.1,1.6,1.6,1.4
"대전광역시","60세이상",5.0,2.2,1.9,2.5
"울산광역시","계",3.8,3.5,2.7,2.8
"울산광역시","15 - 29세",7.9,9.0,8.1,5.8
"울산광역시","30 - 59세",2.4,2.8,1.9,1.6
"울산광역시","60세이상",6.7,2.5,2.0,5.3
"세종특별자치시","계",2.5,2.3,1.9,1.4
"세종특별자치시","15 - 29세",1.9,4.6,4.5,1.4
"세종특별자치시","30 - 59세",2.5,1.7,1.4,1.4
"세종특별자치시","60세이상",3.4,3.1,2.5,1.1
"경기도","계",3.0,3.0,2.5,2.4
"경기도","15 - 29세",5.9,6.7,6.0,5.5
"경기도","30 - 59세",1.8,2.2,2.0,1.8
"경기도","60세이상",4.9,2.4,1.3,1.8
"강원도","계",4.7,2.5,2.2,3.4
"강원도","15 - 29세",9.4,8.1,6.4,6.0
"강원도","30 - 59세",2.0,1.7,1.8,2.0
"강원도","60세이상",8.5,1.8,1.5,5.0
"충청북도","계",3.2,2.7,2.1,1.8
"충청북도","15 - 29세",5.6,7.6,5.7,2.7
"충청북도","30 - 59세",2.2,2.0,1.7,1.3
"충청북도","60세이상",4.5,1.5,1.1,2.4
"충청남도","계",2.9,2.8,1.9,1.8
"충청남도","15 - 29세",5.0,7.2,4.3,3.7
"충청남도","30 - 59세",2.1,2.2,1.6,1.4
"충청남도","60세이상",3.9,1.6,1.4,1.6
"전라북도","계",2.9,2.5,1.7,2.6
"전라북도","15 - 29세",5.7,7.5,6.6,6.7
"전라북도","30 - 59세",2.1,2.4,1.3,1.1
"전라북도","60세이상",3.6,0.7,0.4,4.0
"전라남도","계",3.0,2.0,1.8,2.1
"전라남도","15 - 29세",6.7,7.7,6.7,3.6
"전라남도","30 - 59세",2.1,1.8,1.7,1.4
"전라남도","60세이상",3.4,0.7,0.6,2.9
"경상북도","계",3.4,2.2,1.8,2.6
"경상북도","15 - 29세",10.0,7.6,5.8,5.9
"경상북도","30 - 59세",1.7,1.5,1.6,1.8
"경상북도","60세이상",4.0,1.3,0.8,3.0
"경상남도","계",3.8,3.6,3.0,2.8
"경상남도","15 - 29세",4.3,9.9,8.8,4.3
"경상남도","30 - 59세",3.1,3.2,2.4,2.4
"경상남도","60세이상",5.3,1.8,2.1,3.0
"제주도","계",2.5,2.0,1.8,2.2
"제주도","15 - 29세",5.6,7.3,4.6,3.3
"제주도","30 - 59세",1.4,1.4,1.7,2.0
"제주도","60세이상",3.9,0.8,0.7,2.1
